step,event_type,details
103,death,frog died
104,predator_kill,frog eaten
104,death,frog died
106,predator_kill,frog eaten
106,death,frog died
106,death,frog died
106,predator_kill,frog eaten
106,death,frog died
106,death,frog died
107,death,frog died
107,death,frog died
107,predator_kill,frog eaten
107,death,frog died
107,predator_kill,frog eaten
107,death,frog died
107,predator_kill,frog eaten
107,death,frog died
107,death,frog died
107,predator_kill,frog eaten
107,death,frog died
108,predator_kill,frog eaten
108,death,frog died
109,predator_kill,frog eaten
109,death,frog died
110,predator_kill,frog eaten
110,death,frog died
111,predator_kill,frog eaten
111,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
112,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,death,frog died
113,predator_kill,frog eaten
113,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
114,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
115,death,frog died
116,death,frog died
116,death,frog died
116,death,frog died
116,death,frog died
116,death,frog died
116,death,frog died
117,death,frog died
117,death,frog died
117,death,frog died
117,death,frog died
117,death,frog died
117,death,frog died
117,death,frog died
117,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
118,death,frog died
122,predator_kill,frog eaten
122,death,frog died
123,death,frog died
124,death,frog died
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
